subject,verb,object,time,amount,mask
User 40578,bought,book,2023-01-11,1524,"[1, 1, 1, 1, 1]"
User 94768,paid,laptop,2022-11-23,-1,"[1, 1, 1, 1, 0]"
User 65142,paid,service,2023-03-25,-1,"[1, 1, 1, 1, 0]"
User 10499,returned,book,2023-12-19,-1,"[1, 1, 1, 1, 0]"
User 89538,ordered,phone,2025-07-13,3949,"[1, 1, 1, 1, 1]"
User 91971,ordered,product,2024-11-28,3816,"[1, 1, 1, 1, 1]"
User 49442,sold,product,2023-01-25,2977,"[1, 1, 1, 1, 1]"
User 14127,paid,service,2022-10-26,4766,"[1, 1, 1, 1, 1]"
User 47165,bought,laptop,[PAD],-1,"[1, 1, 1, 0, 0]"
User 65508,returned,laptop,2022-11-21,-2696,"[1, 1, 1, 1, 1]"
User 72930,cancelled,product,2022-01-24,3854,"[1, 1, 1, 1, 1]"
User 51361,ordered,product,2023-05-10,2634,"[1, 1, 1, 1, 1]"
User 57546,ordered,accessory,2025-11-16,3733,"[1, 1, 1, 1, 1]"
User 88529,paid,phone,2024-06-20,2373,"[1, 1, 1, 1, 1]"
User 65850,paid,product,2024-02-03,-1,"[1, 1, 1, 1, 0]"
User 97653,paid,book,2024-11-01,4568,"[1, 1, 1, 1, 1]"
User 93011,paid,book,2025-08-19,3652,"[1, 1, 1, 1, 1]"
User 17930,bought,accessory,[PAD],-1,"[1, 1, 1, 0, 0]"
User 38510,sold,book,2024-11-19,-1,"[1, 1, 1, 1, 0]"
User 31258,bought,phone,2022-11-01,-1,"[1, 1, 1, 1, 0]"
User 04901,bought,book,2022-07-24,4832,"[1, 1, 1, 1, 1]"
User 39187,cancelled,accessory,2023-04-15,3700,"[1, 1, 1, 1, 1]"
User 22065,paid,book,2025-10-24,323,"[1, 1, 1, 1, 1]"
User 93912,sold,accessory,2022-12-19,-1,"[1, 1, 1, 1, 0]"
User 17711,bought,phone,2022-04-04,-1,"[1, 1, 1, 1, 0]"
User 64820,paid,book,2023-07-23,3613,"[1, 1, 1, 1, 1]"
User 78809,returned,accessory,2022-05-19,-1,"[1, 1, 1, 1, 0]"
User 84110,sold,product,2023-09-25,2072,"[1, 1, 1, 1, 1]"
User 91278,ordered,product,2024-04-13,2131,"[1, 1, 1, 1, 1]"
User 15818,paid,phone,2023-10-20,4919,"[1, 1, 1, 1, 1]"
User 27433,paid,service,2024-08-26,-1,"[1, 1, 1, 1, 0]"
User 68386,sold,accessory,2022-05-20,4294,"[1, 1, 1, 1, 1]"
User 02283,paid,service,2024-07-29,-1,"[1, 1, 1, 1, 0]"
User 08451,sold,product,2023-04-05,3927,"[1, 1, 1, 1, 1]"
User 28259,bought,accessory,2025-10-09,4598,"[1, 1, 1, 1, 1]"
User 99562,sold,laptop,2023-01-19,1694,"[1, 1, 1, 1, 1]"
User 15977,returned,service,2022-08-24,-1,"[1, 1, 1, 1, 0]"
User 79306,returned,accessory,[PAD],-157,"[1, 1, 1, 0, 1]"
User 46523,sold,accessory,2025-11-19,3920,"[1, 1, 1, 1, 1]"
User 89903,sold,laptop,2023-08-31,-1,"[1, 1, 1, 1, 0]"
User 08533,returned,laptop,[PAD],-4424,"[1, 1, 1, 0, 1]"
User 12791,ordered,accessory,2023-02-06,-1,"[1, 1, 1, 1, 0]"
User 06320,cancelled,phone,2023-08-22,-1,"[1, 1, 1, 1, 0]"
User 83264,paid,laptop,2025-01-05,-1,"[1, 1, 1, 1, 0]"
User 64555,cancelled,accessory,2025-06-11,4901,"[1, 1, 1, 1, 1]"
User 65923,cancelled,service,[PAD],3142,"[1, 1, 1, 0, 1]"
User 12018,cancelled,accessory,2024-12-27,-1,"[1, 1, 1, 1, 0]"
User 89262,cancelled,laptop,2023-11-03,1448,"[1, 1, 1, 1, 1]"
User 94854,returned,laptop,2023-07-07,-1,"[1, 1, 1, 1, 0]"
User 98038,returned,accessory,2024-03-02,-2969,"[1, 1, 1, 1, 1]"
User 55050,cancelled,accessory,2023-07-07,-1,"[1, 1, 1, 1, 0]"
User 36175,returned,service,2024-02-26,-1029,"[1, 1, 1, 1, 1]"
User 29170,sold,accessory,2023-04-12,-1,"[1, 1, 1, 1, 0]"
User 04592,bought,phone,2025-04-27,497,"[1, 1, 1, 1, 1]"
User 05942,ordered,accessory,2024-09-01,3880,"[1, 1, 1, 1, 1]"
User 87703,cancelled,service,2023-07-31,4255,"[1, 1, 1, 1, 1]"
User 65150,returned,laptop,2024-07-22,-624,"[1, 1, 1, 1, 1]"
User 67505,returned,product,2022-06-19,-1,"[1, 1, 1, 1, 0]"
User 27533,ordered,laptop,2022-11-21,-1,"[1, 1, 1, 1, 0]"
User 18714,bought,accessory,2022-10-30,3820,"[1, 1, 1, 1, 1]"
User 15055,paid,laptop,2022-03-25,4303,"[1, 1, 1, 1, 1]"
User 71599,cancelled,service,2023-09-10,4611,"[1, 1, 1, 1, 1]"
User 40406,bought,accessory,2024-08-04,3239,"[1, 1, 1, 1, 1]"
User 16321,returned,laptop,2025-03-13,-4224,"[1, 1, 1, 1, 1]"
User 99698,sold,product,2024-05-27,-1,"[1, 1, 1, 1, 0]"
User 43193,bought,laptop,[PAD],2902,"[1, 1, 1, 0, 1]"
User 39839,cancelled,book,[PAD],2355,"[1, 1, 1, 0, 1]"
User 31603,ordered,service,2023-03-24,2593,"[1, 1, 1, 1, 1]"
User 37560,bought,service,2023-03-25,3035,"[1, 1, 1, 1, 1]"
User 26080,paid,book,[PAD],2666,"[1, 1, 1, 0, 1]"
User 36327,ordered,laptop,[PAD],2526,"[1, 1, 1, 0, 1]"
User 54369,ordered,service,2025-03-17,-1,"[1, 1, 1, 1, 0]"
User 52687,ordered,phone,2022-06-24,4675,"[1, 1, 1, 1, 1]"
User 51158,ordered,accessory,[PAD],2373,"[1, 1, 1, 0, 1]"
User 55195,returned,product,2022-11-15,-1,"[1, 1, 1, 1, 0]"
User 05301,sold,product,2025-07-25,-1,"[1, 1, 1, 1, 0]"
User 50589,returned,service,2024-06-05,-4209,"[1, 1, 1, 1, 1]"
User 98512,cancelled,laptop,2025-09-16,2283,"[1, 1, 1, 1, 1]"
User 56190,sold,book,[PAD],3409,"[1, 1, 1, 0, 1]"
User 06110,sold,laptop,[PAD],3056,"[1, 1, 1, 0, 1]"
User 03565,returned,phone,2024-01-06,-2748,"[1, 1, 1, 1, 1]"
User 17655,returned,accessory,[PAD],-1095,"[1, 1, 1, 0, 1]"
User 08522,returned,book,2024-03-29,-1,"[1, 1, 1, 1, 0]"
User 27817,cancelled,product,[PAD],-1,"[1, 1, 1, 0, 0]"
User 29006,ordered,laptop,2025-06-30,2053,"[1, 1, 1, 1, 1]"
User 87592,bought,phone,2024-10-03,4337,"[1, 1, 1, 1, 1]"
User 83089,sold,accessory,2024-04-08,-1,"[1, 1, 1, 1, 0]"
User 14827,paid,service,2022-03-22,1546,"[1, 1, 1, 1, 1]"
User 43390,bought,laptop,2024-01-29,-1,"[1, 1, 1, 1, 0]"
User 32770,ordered,book,[PAD],1035,"[1, 1, 1, 0, 1]"
User 25482,cancelled,book,2024-09-04,-1,"[1, 1, 1, 1, 0]"
User 73561,returned,laptop,2023-04-01,-4773,"[1, 1, 1, 1, 1]"
User 25861,cancelled,laptop,2022-10-23,1176,"[1, 1, 1, 1, 1]"
User 78724,ordered,book,2025-03-07,4883,"[1, 1, 1, 1, 1]"
User 13014,paid,laptop,2024-05-26,-1,"[1, 1, 1, 1, 0]"
User 91775,cancelled,service,2024-04-03,102,"[1, 1, 1, 1, 1]"
User 52943,sold,accessory,2025-06-04,-1,"[1, 1, 1, 1, 0]"
User 87948,sold,accessory,[PAD],4265,"[1, 1, 1, 0, 1]"
User 41792,sold,service,2023-07-04,4349,"[1, 1, 1, 1, 1]"
User 81245,bought,accessory,2024-06-06,-1,"[1, 1, 1, 1, 0]"
User 20784,sold,accessory,2022-03-08,3550,"[1, 1, 1, 1, 1]"
User 46601,returned,phone,2025-05-20,-3824,"[1, 1, 1, 1, 1]"
User 73007,bought,accessory,[PAD],1230,"[1, 1, 1, 0, 1]"
User 95868,returned,phone,2022-07-19,-1,"[1, 1, 1, 1, 0]"
User 23805,paid,phone,[PAD],-1,"[1, 1, 1, 0, 0]"
User 02792,bought,laptop,2025-07-06,2054,"[1, 1, 1, 1, 1]"
User 20069,cancelled,service,2024-10-16,230,"[1, 1, 1, 1, 1]"
User 15180,ordered,book,2023-05-26,3611,"[1, 1, 1, 1, 1]"
User 37384,ordered,laptop,2022-05-08,1546,"[1, 1, 1, 1, 1]"
User 26035,returned,service,2025-04-05,-3727,"[1, 1, 1, 1, 1]"
User 13103,paid,accessory,2024-07-23,2625,"[1, 1, 1, 1, 1]"
User 21953,sold,laptop,2022-08-13,2643,"[1, 1, 1, 1, 1]"
User 77503,bought,service,[PAD],693,"[1, 1, 1, 0, 1]"
User 10419,cancelled,accessory,2025-04-05,301,"[1, 1, 1, 1, 1]"
User 42740,bought,book,2024-01-20,3865,"[1, 1, 1, 1, 1]"
User 30318,cancelled,product,2022-06-01,1799,"[1, 1, 1, 1, 1]"
User 30440,bought,laptop,[PAD],4343,"[1, 1, 1, 0, 1]"
User 30913,bought,phone,2023-07-04,3428,"[1, 1, 1, 1, 1]"
User 36239,ordered,phone,2022-03-22,-1,"[1, 1, 1, 1, 0]"
User 02411,paid,service,2024-12-24,2987,"[1, 1, 1, 1, 1]"
User 19317,cancelled,book,2022-12-08,-1,"[1, 1, 1, 1, 0]"
User 15045,paid,laptop,[PAD],1117,"[1, 1, 1, 0, 1]"
User 13824,ordered,product,[PAD],-1,"[1, 1, 1, 0, 0]"
User 78581,ordered,book,2022-01-21,3094,"[1, 1, 1, 1, 1]"
User 84381,sold,service,[PAD],4717,"[1, 1, 1, 0, 1]"
User 64607,bought,service,2023-06-21,-1,"[1, 1, 1, 1, 0]"
User 83996,sold,phone,2023-10-27,1317,"[1, 1, 1, 1, 1]"
User 31368,bought,accessory,2024-07-21,-1,"[1, 1, 1, 1, 0]"
User 75181,sold,service,2024-03-20,2704,"[1, 1, 1, 1, 1]"
User 59834,sold,laptop,2024-07-16,4374,"[1, 1, 1, 1, 1]"
User 33264,ordered,product,2023-12-24,2537,"[1, 1, 1, 1, 1]"
User 71613,cancelled,accessory,2024-03-17,1968,"[1, 1, 1, 1, 1]"
User 17435,cancelled,product,2025-09-28,1632,"[1, 1, 1, 1, 1]"
User 07053,bought,product,2023-12-23,4660,"[1, 1, 1, 1, 1]"
User 42587,returned,accessory,2022-11-16,-4374,"[1, 1, 1, 1, 1]"
User 22288,ordered,accessory,[PAD],508,"[1, 1, 1, 0, 1]"
User 60189,returned,accessory,2023-10-28,-1044,"[1, 1, 1, 1, 1]"
User 92033,returned,service,2024-07-12,-1,"[1, 1, 1, 1, 0]"
User 81673,sold,product,2025-02-21,-1,"[1, 1, 1, 1, 0]"
User 83159,ordered,phone,2023-02-09,4804,"[1, 1, 1, 1, 1]"
User 33844,ordered,phone,2025-12-05,4982,"[1, 1, 1, 1, 1]"
User 42473,ordered,accessory,2024-08-16,252,"[1, 1, 1, 1, 1]"
User 36372,paid,product,2023-04-26,-1,"[1, 1, 1, 1, 0]"
User 56068,ordered,phone,2025-04-12,1704,"[1, 1, 1, 1, 1]"
User 66849,returned,accessory,2024-04-16,-4320,"[1, 1, 1, 1, 1]"
User 11940,cancelled,accessory,[PAD],4129,"[1, 1, 1, 0, 1]"
User 18431,bought,book,[PAD],566,"[1, 1, 1, 0, 1]"
User 15487,paid,product,2023-08-23,1777,"[1, 1, 1, 1, 1]"
User 91149,ordered,product,2023-05-19,3859,"[1, 1, 1, 1, 1]"
User 09866,paid,book,[PAD],4805,"[1, 1, 1, 0, 1]"
User 92789,bought,accessory,2024-08-30,4163,"[1, 1, 1, 1, 1]"
User 31922,paid,service,2022-04-03,677,"[1, 1, 1, 1, 1]"
User 45385,paid,product,2024-09-06,4141,"[1, 1, 1, 1, 1]"
User 19818,cancelled,phone,2023-03-10,-1,"[1, 1, 1, 1, 0]"
User 90485,cancelled,accessory,2025-06-17,1342,"[1, 1, 1, 1, 1]"
User 04976,paid,service,2025-09-07,-1,"[1, 1, 1, 1, 0]"
User 94250,sold,laptop,[PAD],4335,"[1, 1, 1, 0, 1]"
User 22053,returned,service,2024-11-21,-1,"[1, 1, 1, 1, 0]"
User 27844,ordered,accessory,2025-08-31,3328,"[1, 1, 1, 1, 1]"
User 13128,ordered,product,2023-12-20,1682,"[1, 1, 1, 1, 1]"
User 28489,returned,laptop,2025-12-12,-1,"[1, 1, 1, 1, 0]"
User 79903,returned,accessory,2024-05-16,-1798,"[1, 1, 1, 1, 1]"
User 69843,sold,laptop,2024-12-30,-1,"[1, 1, 1, 1, 0]"
User 89216,returned,laptop,2024-11-05,-3937,"[1, 1, 1, 1, 1]"
User 70221,cancelled,product,2025-07-31,3646,"[1, 1, 1, 1, 1]"
User 17682,ordered,product,[PAD],4675,"[1, 1, 1, 0, 1]"
User 43511,returned,service,2022-11-22,-1,"[1, 1, 1, 1, 0]"
User 81237,returned,laptop,2023-01-27,-1,"[1, 1, 1, 1, 0]"
User 84211,cancelled,accessory,[PAD],1304,"[1, 1, 1, 0, 1]"
User 67531,bought,accessory,2024-08-06,2505,"[1, 1, 1, 1, 1]"
User 50429,ordered,accessory,2022-03-31,3582,"[1, 1, 1, 1, 1]"
User 02138,paid,book,[PAD],4996,"[1, 1, 1, 0, 1]"
User 78948,sold,laptop,2022-07-08,-1,"[1, 1, 1, 1, 0]"
User 32024,sold,phone,2024-02-12,3590,"[1, 1, 1, 1, 1]"
User 33264,returned,laptop,2025-08-25,-1,"[1, 1, 1, 1, 0]"
User 95970,sold,product,2024-08-17,1331,"[1, 1, 1, 1, 1]"
User 50226,paid,laptop,[PAD],1863,"[1, 1, 1, 0, 1]"
User 36587,ordered,book,2023-03-24,684,"[1, 1, 1, 1, 1]"
User 46797,cancelled,accessory,[PAD],-1,"[1, 1, 1, 0, 0]"
User 33372,paid,accessory,2022-03-08,1948,"[1, 1, 1, 1, 1]"
User 29130,cancelled,service,[PAD],4791,"[1, 1, 1, 0, 1]"
User 34066,bought,accessory,2022-08-21,2537,"[1, 1, 1, 1, 1]"
User 37859,cancelled,book,2024-06-30,-1,"[1, 1, 1, 1, 0]"
User 97799,sold,accessory,2025-01-09,-1,"[1, 1, 1, 1, 0]"
User 22320,paid,phone,[PAD],-1,"[1, 1, 1, 0, 0]"
User 55663,cancelled,book,2022-04-19,3450,"[1, 1, 1, 1, 1]"
User 92379,returned,product,2022-11-10,-4260,"[1, 1, 1, 1, 1]"
User 86932,bought,phone,[PAD],2985,"[1, 1, 1, 0, 1]"
User 04093,bought,product,2023-01-16,3534,"[1, 1, 1, 1, 1]"
User 98424,returned,accessory,2025-07-04,-4123,"[1, 1, 1, 1, 1]"
User 11107,cancelled,service,2025-05-19,2106,"[1, 1, 1, 1, 1]"
User 10925,sold,accessory,2024-04-20,-1,"[1, 1, 1, 1, 0]"
User 07435,cancelled,laptop,2025-04-08,2708,"[1, 1, 1, 1, 1]"
User 58714,cancelled,service,2022-09-20,1703,"[1, 1, 1, 1, 1]"
User 41724,returned,book,2023-06-04,-2995,"[1, 1, 1, 1, 1]"
User 18320,bought,laptop,2023-04-06,2459,"[1, 1, 1, 1, 1]"
User 21781,cancelled,laptop,2022-08-08,-1,"[1, 1, 1, 1, 0]"
User 69254,ordered,phone,2025-07-11,4008,"[1, 1, 1, 1, 1]"
User 13537,paid,phone,[PAD],-1,"[1, 1, 1, 0, 0]"
User 16102,bought,phone,2025-01-15,2355,"[1, 1, 1, 1, 1]"
User 51544,bought,book,2022-05-21,4772,"[1, 1, 1, 1, 1]"
User 05469,bought,book,2022-03-15,2249,"[1, 1, 1, 1, 1]"
User 11849,returned,accessory,2023-08-15,-1,"[1, 1, 1, 1, 0]"
User 89816,cancelled,phone,2022-10-07,4345,"[1, 1, 1, 1, 1]"
User 24054,ordered,laptop,2025-07-23,549,"[1, 1, 1, 1, 1]"
User 35811,bought,book,2023-11-24,3025,"[1, 1, 1, 1, 1]"
User 59901,returned,service,2024-12-17,-1,"[1, 1, 1, 1, 0]"
User 64950,ordered,phone,2023-11-19,3641,"[1, 1, 1, 1, 1]"
User 86347,bought,laptop,2022-10-10,-1,"[1, 1, 1, 1, 0]"
User 88506,cancelled,product,[PAD],-1,"[1, 1, 1, 0, 0]"
User 65777,cancelled,laptop,2024-08-18,-1,"[1, 1, 1, 1, 0]"
User 10110,ordered,phone,[PAD],3958,"[1, 1, 1, 0, 1]"
User 61045,returned,book,2023-05-20,-1,"[1, 1, 1, 1, 0]"
User 61345,ordered,service,2023-05-04,3461,"[1, 1, 1, 1, 1]"
User 73673,sold,book,2022-06-19,561,"[1, 1, 1, 1, 1]"
User 22677,ordered,laptop,[PAD],-1,"[1, 1, 1, 0, 0]"
User 30113,sold,product,2023-07-22,4637,"[1, 1, 1, 1, 1]"
User 97365,sold,laptop,2025-09-27,2092,"[1, 1, 1, 1, 1]"
User 44692,ordered,product,2024-01-02,-1,"[1, 1, 1, 1, 0]"
User 97280,bought,laptop,[PAD],3101,"[1, 1, 1, 0, 1]"
User 05815,returned,phone,2025-03-14,-3974,"[1, 1, 1, 1, 1]"
User 64260,sold,book,[PAD],-1,"[1, 1, 1, 0, 0]"
User 92215,returned,service,2025-07-29,-1419,"[1, 1, 1, 1, 1]"
User 92444,sold,book,2025-11-27,2923,"[1, 1, 1, 1, 1]"
User 77898,ordered,product,2024-04-16,4623,"[1, 1, 1, 1, 1]"
User 91602,sold,product,2023-12-17,-1,"[1, 1, 1, 1, 0]"
User 90818,paid,book,[PAD],3938,"[1, 1, 1, 0, 1]"
User 06170,cancelled,book,2024-02-16,3184,"[1, 1, 1, 1, 1]"
User 90165,bought,phone,2025-11-22,3895,"[1, 1, 1, 1, 1]"
User 62931,sold,product,2022-08-18,498,"[1, 1, 1, 1, 1]"
User 11503,cancelled,book,[PAD],4090,"[1, 1, 1, 0, 1]"
User 23002,cancelled,product,[PAD],-1,"[1, 1, 1, 0, 0]"
User 69453,bought,book,2024-01-14,1558,"[1, 1, 1, 1, 1]"
User 40857,sold,laptop,2024-04-04,-1,"[1, 1, 1, 1, 0]"
User 46742,ordered,service,2023-04-17,3638,"[1, 1, 1, 1, 1]"
User 79671,paid,service,2023-07-18,4111,"[1, 1, 1, 1, 1]"
User 62504,returned,laptop,2025-04-06,-1815,"[1, 1, 1, 1, 1]"
User 37453,ordered,service,2023-09-30,694,"[1, 1, 1, 1, 1]"
User 92061,returned,accessory,2023-08-01,-2952,"[1, 1, 1, 1, 1]"
User 97015,bought,accessory,2022-02-14,-1,"[1, 1, 1, 1, 0]"
User 97468,ordered,product,2024-05-01,3976,"[1, 1, 1, 1, 1]"
User 62978,ordered,book,[PAD],-1,"[1, 1, 1, 0, 0]"
User 45940,sold,book,2024-11-03,1756,"[1, 1, 1, 1, 1]"
User 97283,bought,phone,2024-03-18,1481,"[1, 1, 1, 1, 1]"
User 24235,ordered,phone,2022-05-01,235,"[1, 1, 1, 1, 1]"
User 20502,sold,service,[PAD],4065,"[1, 1, 1, 0, 1]"
User 49096,sold,product,[PAD],-1,"[1, 1, 1, 0, 0]"
User 49545,bought,phone,2022-12-02,2933,"[1, 1, 1, 1, 1]"
User 42072,paid,laptop,[PAD],-1,"[1, 1, 1, 0, 0]"
User 75452,cancelled,product,2024-01-23,4252,"[1, 1, 1, 1, 1]"
User 22682,sold,book,2025-08-05,1139,"[1, 1, 1, 1, 1]"
User 97683,ordered,book,2022-10-22,4629,"[1, 1, 1, 1, 1]"
User 36331,cancelled,accessory,2022-05-19,-1,"[1, 1, 1, 1, 0]"
User 28493,paid,book,2024-01-04,3386,"[1, 1, 1, 1, 1]"
User 94639,returned,book,2024-12-16,-2464,"[1, 1, 1, 1, 1]"
User 68779,returned,accessory,2025-10-22,-2675,"[1, 1, 1, 1, 1]"
User 82675,paid,product,2023-04-11,4761,"[1, 1, 1, 1, 1]"
User 02213,cancelled,phone,2023-11-10,4896,"[1, 1, 1, 1, 1]"
User 22789,sold,phone,2023-04-08,1591,"[1, 1, 1, 1, 1]"
User 52513,cancelled,product,2024-05-14,-1,"[1, 1, 1, 1, 0]"
User 47190,sold,service,[PAD],-1,"[1, 1, 1, 0, 0]"
User 76366,ordered,accessory,2022-06-11,3990,"[1, 1, 1, 1, 1]"
User 41048,bought,laptop,2025-10-01,1038,"[1, 1, 1, 1, 1]"
User 48360,cancelled,service,2024-08-31,3491,"[1, 1, 1, 1, 1]"
User 27853,returned,accessory,2022-08-09,-1,"[1, 1, 1, 1, 0]"
User 47604,returned,laptop,2023-06-01,-1,"[1, 1, 1, 1, 0]"
User 05790,cancelled,accessory,2022-09-09,1628,"[1, 1, 1, 1, 1]"
User 44526,sold,phone,2022-08-13,3178,"[1, 1, 1, 1, 1]"
User 79594,cancelled,accessory,2023-07-24,3007,"[1, 1, 1, 1, 1]"
User 39492,bought,product,2023-04-01,3557,"[1, 1, 1, 1, 1]"
User 73855,cancelled,laptop,2024-04-30,-1,"[1, 1, 1, 1, 0]"
User 42317,bought,laptop,2022-04-07,1919,"[1, 1, 1, 1, 1]"
User 55654,ordered,service,2023-11-04,2167,"[1, 1, 1, 1, 1]"
User 26200,ordered,laptop,[PAD],4588,"[1, 1, 1, 0, 1]"
User 13495,ordered,accessory,2024-02-19,4699,"[1, 1, 1, 1, 1]"
User 34105,returned,book,2022-09-02,-2132,"[1, 1, 1, 1, 1]"
User 78128,sold,book,2022-05-08,4540,"[1, 1, 1, 1, 1]"
User 11237,bought,book,2022-11-24,1703,"[1, 1, 1, 1, 1]"
User 82164,ordered,phone,2024-08-07,2188,"[1, 1, 1, 1, 1]"
User 87184,paid,phone,[PAD],4156,"[1, 1, 1, 0, 1]"
User 43674,returned,product,[PAD],-1150,"[1, 1, 1, 0, 1]"
User 28534,returned,service,2024-08-29,-975,"[1, 1, 1, 1, 1]"
User 51912,cancelled,book,[PAD],-1,"[1, 1, 1, 0, 0]"
User 51698,returned,accessory,2024-05-26,-678,"[1, 1, 1, 1, 1]"
User 11802,returned,phone,2024-04-20,-3495,"[1, 1, 1, 1, 1]"
User 20143,paid,accessory,2022-03-19,2638,"[1, 1, 1, 1, 1]"
User 01574,paid,book,2022-11-06,400,"[1, 1, 1, 1, 1]"
User 57709,returned,phone,2025-08-16,-267,"[1, 1, 1, 1, 1]"
User 48479,sold,product,[PAD],3000,"[1, 1, 1, 0, 1]"
User 95355,sold,accessory,2022-07-31,-1,"[1, 1, 1, 1, 0]"
User 68258,returned,laptop,[PAD],-1,"[1, 1, 1, 0, 0]"
User 02000,bought,service,[PAD],2028,"[1, 1, 1, 0, 1]"
User 10154,paid,accessory,2023-03-25,-1,"[1, 1, 1, 1, 0]"
User 45526,bought,book,2024-10-22,4157,"[1, 1, 1, 1, 1]"
User 49783,returned,laptop,2023-12-02,-1,"[1, 1, 1, 1, 0]"
